a.	ara
corr.	corretto
correl.	correlativo, correlazione
corrisp.	corrispondente
cost.	costante
costr.	costruzioni
cristall.	cristallografia
cron.	cronologia
cuc.	cucina
c.v.d	come volevasi dimostrare
D
d.C.	dopo Cristo
dat.	dativo (ling.)
decoraz.	decorazione e ordini cavallereschi
denom.	denominale, denominazione
deriv.	derivato, derivazione
derm	dermatologia
determ.	determinato, determinativo
dial.	dialetto, dialettale, dialettalismo
difett.	difettivo
dimin.	diminutivo
dimostr.	dimostrativo
dipart.	dipartimento
diplom.	diplomatica
Dir.	Diritto
dir.	diritto
Dir. Amm.	Diritto Amministrativo
Dir. Can.	Diritto Canonico
Dir. Civ.	Diritto Civile
Dir. d. lav.	Diritto del lavoro
Dir. internaz.	Diritto internazionale
Dir. it.	Diritto italiano
Dir. pen.	Diritto penale
Dir. priv.	Diritto privato
Dir. proces.	Diritto processuale
Dir. pub.	Diritto pubblico
Dir. rom.	Diritto romano
disus.	disusato
Dott.	Dottore (in medicina)
Dr.	Dottore (in tutti gli altri campi)
E
E	est
eban.	ebanisteria
ebr.	ebraico
ecc.	eccetera
eccl.	ecclesiastico
econ.	economia
econ. az.	economia aziendale
econ. dom.	economia domestica
econ. pol.	economia politica
ed.	edizione, edito
edil.	edilizia
edit.	editoria, editoriale
egiz.	egiziano
elab.	elaborazione dati
elettr.	elettrotecnica, elettrologia
elettron.	elettronica
ellitt.	ellissi, ellittico, ellitticamente
embr.	embriologia
enclic.	enciclopedia
enigm.	enigmistica
enol.	enologia
entom.	entomolgia
epigr.	epigrafia
es.	esempio
escl.	esclamazione, esclamativo
estens.	estensione
estr. min.	estrazioni minerarie
etim.	etimologia
etn.	etnologia, etnografia
etol.	etologia
eufem.	eufemisticamente
F
f.	femminile, fiume
fam.	familiare, famiglia (zool e bot.)
farm.	farmacologia
ferr.	ferrovia
fig.	figura, figurato
filat.	filatelia
filol.	filologia
filos.	filosofia
fin.	finanza, finanziario
fis.	fisica
fisiol.	fisiologia
fisiopatol.	fisiopatologia
folcl.	folclore
fon.	fonetica
fotogr.	fotografia
fr.	francese
fut.	futuro
G
g	grammo
g.	giorno, golfo
gen.	genetica, genitivo (ling.)
geneal.	genealogia
geod.	geodesia
geofis.	geofisica
geogr.	geografia
geogr. antr.	geografia antropologica
geogr. fis.	geografia fisica
geol.	geologia
geom.	geometra
germ.	germanico
giorn.	giornalismo
gr.	greco
gram.	grammatica
H
h	ore
ha	ettaro
Hz	hertz
I
ibid.	ibidem
icon.	iconografia
id.	idem
idraul.	idraulica
ig.	igiene
imp.	impianti
imper.	imperativo
imperf.	imperfetto
impers.	impersonale
ind.	indicativo, industria
ind. agr.	industria agricola
ind. alim.	industria alimentare
ind. cart.	industria cartaria
ind. chim.	industria chimica
ind. cuoio	industria del cuoio
ind. estratt.	industria estrattiva
ind. graf.	industria grafica
ind. mecc.	industria meccanica
ind. tess.	industria tessile
indecl.	indeclinabile
indef.	indefinito
indeterm.	indeterminato
inf.	infinito
inform.	informatica
ing.	ingegnere
ingl.	inglese
ins.	insegnamento
inter.	interiezione
intr.	intransitivo
invar.	invariabile
iron.	ironicamente
irreg.	irregolare
is.	isola
istol.	istologia
it.	italiano
ittiol.	ittiologia
K
kg	chilogrammo
km	chilometro
km², kmq	chilometro quadrato
kW	chilowatt
kWh	chilowattora
L
l	litro
l.	libro, lago, livello
lat.	latino, latitudine
lav. femm.	lavori femminili
lav. pubbl.	lavori pubblici
lett.	letterario, letteratura
ling.	linguistica
lit.	liturgia
loc.	locuzione
loc. div.	locuzione diverse
long.	longitudine
M
m	metro
m.	maschile, morto, mare, monte
m°	maestro (arti marziali)
m², mq	metro quadrato
macch.	macchina, macchinari
mar.	marina
mat.	matematica
mater.	materiali
max	massimo
mecc.	meccanica razionale
med.	medicina
mediev.	medievale
merc.	merceologia
merid.	meridionale
metall.	metallurgia
meteor.	meteorologia
metr.	metrica
metrol.	metrologia
microb.	microbiologia
mil.	scienze militari
min.	minuto, mineralogia
miner.	mineralogia
mitol.	mitologia
mod.	moderno
morf.	morfologia
mss	manoscritto
mus.	musica
N
N	nord
n.	nome, numero, nato
n.a.	numero atomico
NE	nord-est
neg.	negativo, negativa
neol.	neologismo
neur.	neurologia
NO	nord-ovest
nom.	nominativo (ling.)
numism.	numismatica
O
O	ovest
oc.	oceano
occ.	occidentale
occult.	occultismo
oculist.	oculistica
od.	odierno
ogg.	oggetto, oggettivo, oggettivamente
oland.	olandese
onomat.	onomatopea, onomatopeico
ord.	ordinale
ord. scol.	ordinamento scolastico
oref.	oreficeria e gioielleria
orient.	orientale
ornit.	ornitologia
orogr.	orografia
ott.	ottica
P
p.	peso
p.a.	peso atomico
pag./p.	pagina
pagg./pp.	pagine
paleobot.	paleobotanica
paleogr.	paleografia
paleont.	paleontologia
paleozool.	paleozoologia
paletn.	paletnologia
papir.	papirologia
parapsicol.	parapsicologia
part.	participio, particolare
partic.	particolarmente, particolare
pass.	passato
patol.	patologia
pedag.	pedagogia
pegg.	peggiorativo
per.ind.	perito industriale
pers.	persona, personale
petr.	petrolchimica
petrogr.	petrografia
pitt.	pittura
pl.	plurale
poet.	poetico
pol.	politica
popol.	popolare, popolaresco
port.	portoghese
poss.	possessivo
pr.	proprio
pref.	prefisso
preist.	preistoria
prep.	preposizione
pres.	presente
pret.	preterito
priv.	privativo
prof.	profondita
pron.	pronome
pronom.	pronominale
propr.	propriamente
prov.	proverbio, provincia
prox.	prossimo, prossima
psicoan.	psicoanalisi
psicol.	psicologia
Q
qc.	qualcosa, qualcuno
qlc.	qualche
qlcn.	qualcuno
qlco.	qualcosa
qlcs.	qualcosa
qlcu.	qualcuno
qualif.	qualificativo
R
radiotecn.	radiotecnica
rag.	ragioneria
rar.	raramente
recipr.	reciprocamente
reg.	regolare
region.	regionale
rel.	religione
rem.	remoto
rep.	repubblica
retor.	retorica
rifl.	riflessivo
rit.	ritornello
rom.	romano
S
s	secondo
S	sud
s.	sostantivo, santo, sul
scherz.	scherzoso
scien.	scienza, scientifico
scult.	scultura
SE	sud-est
sec.	secolo
secc.	secoli
seg.	seguente
segg.	seguenti
sigill.	sigillografia
sig.	signore
sigg.	signori
sig.ra	signora
sig.na	signorina
simb.	simbolo
sin.	sinonimo
sing.	singolare
s/m	sul mare
SO	sud-ovest
sociol.	sociologia
sogg.	soggetto, soggettivo, soggettivamente
sp.	spagnolo
spett.	spettabile
spreg.	spregiativo
SS	santissimo
st.	storia
stat.	statistica
st. d. arte	storia dell'arte
st. d. dir.	storia del diritto
st. d. filos.	storia della filosofia
st. d. rel.	storia della religione
suff.	suffisso
sup.	superficie
superl.	superlativo
T
t	tonnellata
t.	tempo (grammatica), torrente
tav.	tavola
tecn.	tecnica
tecnol.	tecnologia
ted.	tedesco
tel.	telefonia
telecom.	telecomunicazioni, radiotelevisione
temp.	temporale
teol.	teologia
term.	termine, termodinamica, termologia
tess.	tessile (tecnica)
tipogr.	tipografia, tipografico
top.	toponomastica
topog.	topografia
tosc.	toscano
tr.	transitivo, transitivamente
trad.	traduzione
trasp.	trasporti
tv	televisione
U
ungh.	ungherese
urban.	urbanistica
V
v.	verbo, vedi
val.	valenza
vd.	vedi
veter.	veterinaria
vezz.	vezzeggiativo
voc.	vocativo (ling.)
vol.	volume
volg.	volgare
voll.	volumi
Z
zool.	zoologia
zoot.	zootecnia
